,C14:0,C15:0,C16:0,trans C16:1n-7,C16:1n-7,C17:0,C18:0,trans C18:1n-9,trans C18:1n-7,C18:1n-9,C18:1n-7,trans C18:2n-6,"C18:2 n-6, LA","C18:3 n-6, GLA","C18:3 n-3, ALA",C20:0,C20:1n-9,C20:2n-6,C20:3n-6,"C20:4n-6,AA",C22:0,"C20:5n-3,EPA",C22:4n-6,C24:0,C24:1n-9,"C22:5n-3,DPA","C22:6n-3,DHA"
MB1155,202380,74047,10042295,9522,78516,119117,5402652,6688,12626,1528197,85071,751,1881977,33652,60945,85792,16366,8312,200345,2535870,165229,40932,357515,224025,48761,96851,152077
MB1156,100072,46759,6897224,4001,30242,79402,3915496,3536,3265,949864,80808,1112,2153682,9852,70311,84159,19580,11952,141359,1504279,153479,38574,158716,158646,38690,58167,159019
MB1157,247094,67314,7854211,5881,50874,98141,4740458,8480,15753,1003259,65018,647,1470144,34374,38285,86414,13052,6424,203196,2075575,163332,60049,251542,211341,45110,100504,162895
MB1158,311017,82818,8359564,6179,56091,110570,4648547,8465,16285,1391854,62027,668,1543670,13095,36394,87852,19163,6743,169881,1211844,167168,48102,124501,185774,34984,83673,181261
MB1159,165186,70563,7507427,6278,41980,113965,4741136,24340,24340,931331,68099,732,1667399,9435,45128,92657,14295,7839,172556,1793127,178234,69365,165651,237200,48260,84223,242621
MB1160,384363,62135,9973078,5158,75817,90422,4974678,10838,6440,1325724,85596,964,1636491,31380,87220,84031,17812,10117,236524,1948604,137699,53991,360676,201291,38519,84374,202993
QC1,368969,99479,15307345,34082,129268,166967,7930776,57919,8036,1663027,141084,19412,3237954,28600,172484,121816,26088,15364,197188,2009297,198343,149351,170514,256479,70898,75400,305277
QC2,285976,78666,9671184,80899,63388,101950,5057182,6479,6303,1296650,100736,1257,2795356,19563,96574,83543,17669,10796,166838,1746430,104479,132713,159820,180540,44790,75122,243217
MA1151,233381,53122,7600984,4734,75508,69960,4320075,6590,6969,795877,54524,632,1417017,34227,51485,68096,10632,7112,167110,2148390,129019,49279,291973,141770,23659,83019,128091
MA1152,189973,57780,9239779,6585,58453,104962,5056604,7340,7378,1188600,94851,1585,3032620,14151,77648,81435,18659,17783,223968,1502287,147276,49319,151453,148223,25504,66838,226899
MA1153,458715,92817,14858154,9356,226365,119823,7409623,26759,11298,1658125,121095,2133,2641694,70023,128283,103976,20282,12166,277993,3318467,183121,123052,453169,202001,48676,101830,240195
MA1154,551132,92193,9190623,9671,80285,106411,4370057,5500,12751,1154050,86752,824,2515771,18570,118146,77375,14810,8533,195086,1743397,149491,124447,148779,162500,44698,66678,195434
MA1155,236142,83910,10579795,14675,92928,128567,5210747,12760,14621,1685923,94603,1191,2129294,44034,77580,83933,18316,8899,264032,2571600,174518,44625,346475,217516,51316,93766,149927
MA1156,144812,64813,9238358,9362,45841,107433,4635240,4404,4528,1294433,111328,1371,3288077,16706,114611,90145,22476,14950,188396,1877508,164525,54174,171665,176031,46079,68154,199839
MA1157,268772,73607,8516744,6724,55615,110138,5260842,23971,23971,1115215,76200,666,1607452,39534,45260,92889,15221,7686,238428,2332836,167793,66789,287035,225274,48498,119207,193849
MA1158,411080,109513,10657860,9152,77449,146111,5846504,7119,22089,1854696,88732,955,2066694,18882,52485,110971,25803,8915,222447,1554963,200999,64358,151395,217598,38910,106815,226244
MA1159,220680,87635,9291775,10076,67229,141631,5169210,33416,33416,1245519,94888,944,2488194,15460,70338,89589,15718,9886,218429,2038883,172978,86556,160175,218981,52674,90470,273821
MA1160,17484,2737,354868,375,3075,3385,150746,6117,890,46862,5804,2,50685,1129,3727,2808,150,263,10887,47097,3695,2275,32139,3747,0,1940,5881
QC1,377216,101723,15445750,35731,132850,172468,8044229,56679,8738,1702424,145291,20459,3307929,30289,181229,125679,27048,15883,197006,2046562,180948,154022,165319,251122,74756,78355,299870
